cofactor_id,struct.burial_depth,struct.iron_count,struct.is_rieske,struct.is_hipip,Bar.count.ALA,Bar.count.ARG,Bar.count.ASN,Bar.count.ASP,Bar.count.CYS,Bar.count.GLN,Bar.count.GLU,Bar.count.GLY,Bar.count.HIS,Bar.count.ILE,Bar.count.LEU,Bar.count.LYS,Bar.count.MET,Bar.count.PHE,Bar.count.PRO,Bar.count.SER,Bar.count.THR,Bar.count.TRP,Bar.count.TYR,Bar.count.VAL,Bar.prop.Volume,Bar.prop.Log(Solubility (m at 20ºC)),Bar.prop.Hydrophobicity,Bar.prop.Isoelectric point,Bar.prop.P(helix),Bar.prop.nOats in side chain,Bar.prop.nSats in side chain,Bar.prop.nNats in side chain,Bar.prop.Steric hindrance,Bar.prop.nH-bonds,Bar.prop.Vol / log(solub),Bar.prop.Vol / P(helix),Bar.prop.Vol / P(sheet),Bar.prop.log(Solub) x Flex,Bar.prop.Steric hindrance x Flexibility,Bar.prop.Flexibility,Bar.prop.P(helix)+P(sheet),Bar.prop.log(Solub) x Hydrophobicity,Bar.prop.Hydrophobicity x Flex.,Bar.prop.V / (P(helix)+P(sheet)),Bar.prop.Steric hindrance / P(helix),Bar.prop.Isoelectric point / P(sheet),Bar.prop.P(sheet),Bar.prop.Vol x isoelectric point,Bar.prop.Isoelectric point / P(helix),Bar.prop.P(helix) / P(sheet),Bar.prop.Steric hindrance / P(sheet),Bar.prop.P(helix) x Flex.,Bar.mean.Volume,Bar.mean.Log(Solubility (m at 20ºC)),Bar.mean.Hydrophobicity,Bar.mean.Isoelectric point,Bar.mean.P(helix),Bar.mean.nOats in side chain,Bar.mean.nSats in side chain,Bar.mean.nNats in side chain,Bar.mean.Steric hindrance,Bar.mean.nH-bonds,Bar.mean.Vol / log(solub),Bar.mean.Vol / P(helix),Bar.mean.Vol / P(sheet),Bar.mean.log(Solub) x Flex,Bar.mean.Steric hindrance x Flexibility,Bar.mean.Flexibility,Bar.mean.P(helix)+P(sheet),Bar.mean.log(Solub) x Hydrophobicity,Bar.mean.Hydrophobicity x Flex.,Bar.mean.V / (P(helix)+P(sheet)),Bar.mean.Steric hindrance / P(helix),Bar.mean.Isoelectric point / P(sheet),Bar.mean.P(sheet),Bar.mean.Vol x isoelectric point,Bar.mean.Isoelectric point / P(helix),Bar.mean.P(helix) / P(sheet),Bar.mean.Steric hindrance / P(sheet),Bar.mean.P(helix) x Flex.,pH,Em
P00263_SF4,6.9117608070373535,4,0,1,4,1,1,2,3,2,2,2,2,1,0,1,0,2,0,3,1,2,0,0,3734.4,-10.779076571393231,10.28,173.59999999999997,8.29,15,3,13,55.13000000000001,70,1533.242059256106,13849.830923052985,13304.366179072798,-75.48792020975974,624.841,444.3,16.65,-8.07884378805532,123.028,6469.665315485293,202.20219226579536,646.8262451623771,8.360000000000001,22783.101,689.6247550515935,31.536928273263047,184.63818310034867,109.646,128.77241379310342,-0.3716922955652838,0.3544827586206896,5.986206896551723,0.2858620689655172,0.5172413793103449,0.1034482758620689,0.4482758620689655,1.901034482758621,2.413793103448276,52.87041583641744,477.5803766569994,458.7712475542344,-2.603031731371025,21.546241379310345,15.320689655172414,0.5741379310344827,-0.2785808202777696,4.242344827586207,223.09190743052733,6.972489388475702,22.30435328146128,0.2882758620689655,785.6241724137931,23.78016396729633,1.0874802852849326,6.366833900012023,3.7808965517241377,7.0,352.0
P00459_SF4,21.490318298339844,4,0,0,4,2,0,0,4,0,0,12,0,0,0,0,2,2,2,0,0,0,0,6,3627.400000000001,2.7295608225539967,20.18,216.64,7.88,0,6,6,54.81999999999999,26,4968.553461268718,16876.10202731565,13189.431725550075,170.5354117174215,467.77,710.6000000000001,17.759999999999998,-8.413270744583961,250.78,7046.541116351068,221.438434699116,918.9759800548564,9.88,23626.904,1133.8223938428275,30.2676601112064,149.05500432181583,131.478,106.68823529411766,0.0802812006633528,0.5935294117647059,6.371764705882352,0.2317647058823529,0.0,0.1764705882352941,0.1764705882352941,1.6123529411764703,0.7647058823529411,146.1339253314329,496.35594197987206,387.9244625161787,5.015747403453574,13.757941176470588,20.90000000000001,0.5223529411764706,-0.2474491395465871,7.375882352941177,207.2512093044432,6.512895138209294,27.02870529573107,0.2905882352941176,694.9089411764705,33.34771746596552,0.8902252973884234,4.383970715347524,3.867,7.0,-280.0
P00208_C58S_SF4_proximal,5.556431770324707,4,0,0,0,0,1,3,5,1,4,0,0,5,0,0,1,0,2,2,2,0,1,5,4212.9,-18.29566209672816,21.18,172.99999999999997,8.41,21,6,2,81.66,68,-8245.884259304798,17088.82006247394,12925.404306463895,-238.85973086046343,702.199,364.9,19.76,-7.137528469091679,179.36,6872.038001541337,336.8429200956138,504.79623829761033,11.35,22817.051,763.0985226893275,27.46335163555444,229.2277542387983,86.01600000000002,131.653125,-0.5717394405227549,0.661875,5.406249999999999,0.2628125,0.65625,0.1875,0.0625,2.551875,2.125,-257.6838831032749,534.0256269523106,403.9188845769968,-7.464366589389483,21.94371875,11.403125,0.6175,-0.2230477646591149,5.605,214.7511875481668,10.526341252987931,15.774882446800325,0.3546875,713.03284375,23.846828834041485,0.8582297386110762,7.163367319962447,2.6880000000000006,7.0,-633.0
P00208_C58S_SF4_distal,7.748317718505859,4,0,0,2,0,1,0,5,1,5,2,0,5,2,1,2,0,3,2,2,0,1,3,4813.000000000001,-13.75940778727629,25.39,214.14,10.250000000000002,17,7,3,85.73000000000002,63,-6272.276069427025,19071.981063802043,15458.752873672456,-131.458161561454,734.288,458.5,22.540000000000003,-11.36912807500818,272.142,7919.08386673369,346.178232066781,698.5643554918933,12.290000000000004,27782.747,942.4700435052564,35.26798522422445,247.7135372090692,112.279,130.0810810810811,-0.3718758861426024,0.6862162162162162,5.787567567567567,0.2770270270270271,0.4594594594594595,0.1891891891891892,0.081081081081081,2.317027027027028,1.7027027027027026,-169.52097484937903,515.4589476703255,417.8041317208772,-3.552923285444703,19.84562162162162,12.391891891891891,0.6091891891891893,-0.3072737317569778,7.355189189189189,214.02929369550515,9.356168434237324,18.88011771599712,0.3321621621621622,750.885054054054,25.472163337979904,0.953188789843904,6.694960465109976,3.034567567567568,7.0,-464.0
P00262_SF4,6.980329990386963,4,0,1,1,2,2,1,4,2,1,2,1,1,5,0,1,2,1,2,1,2,1,0,4507.0,-16.295919991398193,23.000000000000004,197.83,9.02,12,5,14,68.56,71,1762.2901297429828,16774.18963201115,14959.506529727578,-158.4727551512321,729.5820000000001,450.30000000000007,18.93,-19.34255778198051,262.05600000000004,7547.44873824812,255.6333379294139,691.8279824856048,9.909999999999998,28155.798000000003,804.2683226605982,31.28830772449644,215.96013827825985,108.01900000000002,140.84375,-0.5092474997311935,0.7187500000000001,6.1821875,0.281875,0.375,0.15625,0.4375,2.1425,2.21875,55.07156655446821,524.1934260003484,467.4845790539868,-4.952273598476003,22.799437500000003,14.071875000000002,0.5915625,-0.6044549306868909,8.189250000000001,235.85777307025376,7.988541810294184,21.61962445267515,0.3096874999999999,879.8686875000001,25.133385083143693,0.9777596163905136,6.748754321195619,3.3755937500000006,7.0,347.0
P00260_SF4,6.220101833343506,4,0,1,4,0,4,0,4,6,0,2,0,1,4,3,1,2,0,1,1,2,1,2,5244.1,-16.714630677494572,22.24,240.06,11.260000000000002,13,5,15,77.45,82,-3719.731681289917,18665.12973172625,17598.50938338466,-153.00013623314635,809.495,512.1,22.95,-20.275720980397207,258.862,8688.514791074731,274.3337118610379,855.9091576311696,11.69,33317.453,907.432875468901,39.70855270344346,243.13924742440457,132.42799999999997,138.0026315789474,-0.4398587020393308,0.5852631578947369,6.317368421052631,0.2963157894736842,0.3421052631578947,0.131578947368421,0.3947368421052631,2.0381578947368424,2.1578947368421053,-97.88767582341887,491.1876245191119,463.1186679838068,-4.026319374556483,21.3025,13.476315789473684,0.6039473684210526,-0.5335716047472949,6.812157894736841,228.645126080914,7.219308206869418,22.52392520082025,0.3076315789473684,876.7750789473685,23.87981251233949,1.0449619132485122,6.398401248010647,3.484947368421052,7.0,356.0
P07485_SF4,6.079768657684326,4,0,0,6,0,0,3,5,0,5,1,1,4,1,1,2,1,1,2,0,0,0,5,4821.199999999999,-16.146325391150175,23.08,212.05,11.470000000000002,18,7,3,84.64000000000001,59,-3269.535656438012,17484.28655830754,16065.128810437198,-179.71103594168778,812.857,500.6,23.75,-7.1040388395605145,249.094,7765.023845418831,311.37382832237745,703.6759269405652,12.28,27008.046,818.390991816205,41.38677560026007,255.7688828958437,139.71700000000004,126.87368421052628,-0.4249032997671098,0.6073684210526316,5.580263157894737,0.3018421052631579,0.4736842105263157,0.1842105263157894,0.0789473684210526,2.227368421052632,1.5526315789473684,-86.04041201152663,460.1128041659879,422.76654764308415,-4.7292377879391525,21.390973684210525,13.173684210526316,0.625,-0.1869483905147503,6.555105263157895,204.34273277417967,8.194048113746774,18.517787551067507,0.3231578947368421,710.7380526315789,21.53660504779487,1.0891256736910544,6.730760076206412,3.676763157894738,8.0,-374.0
P00261_SF4,6.736727237701416,4,0,1,4,0,3,1,4,2,0,2,3,1,5,1,0,2,0,2,1,2,1,1,4741.1,-16.886857121738032,24.53,216.99,9.97,11,4,14,74.28,67,-4086.5198255036207,17542.124011228418,15678.506423486137,-148.39197107328323,809.5110000000001,508.9,20.78,-20.30489868429351,265.52200000000005,7968.529100606504,270.6052756529965,763.2343435339765,10.81,29558.291,855.0789904893583,34.807466700779095,233.0063843715588,127.342,135.46,-0.482481632049658,0.7008571428571428,6.199714285714286,0.2848571428571428,0.3142857142857143,0.1142857142857142,0.4,2.1222857142857143,1.9142857142857144,-116.75770930010344,501.2035431779548,447.9573263853182,-4.239770602093807,23.128885714285715,14.54,0.5937142857142857,-0.580139962408386,7.586342857142858,227.67226001732868,7.731579304371329,21.806695529542186,0.3088571428571428,844.5225999999999,24.43082829969595,0.9944990485936884,6.657325267758823,3.638342857142857,7.0,328.0
P00265_SF4,8.918804168701172,4,0,1,4,0,2,1,2,1,0,5,1,0,1,4,0,1,0,1,1,2,0,0,3199.9,-4.1349147081834445,6.51,171.67,6.989999999999999,7,2,11,41.86000000000001,48,1539.5942257762874,12519.280132394835,12012.486188159006,17.91253439307512,466.6679999999999,463.80000000000007,13.920000000000002,-8.723593959093343,95.06,5939.914147381119,151.1666053173407,708.4292095584422,6.930000000000001,21858.137,735.9829071799662,27.57574787370302,142.11977031469502,101.65200000000002,123.07307692307693,-0.1590351810839786,0.2503846153846153,6.602692307692307,0.2688461538461538,0.2692307692307692,0.0769230769230769,0.4230769230769231,1.6100000000000003,1.8461538461538465,59.21516252985721,481.5107743228783,462.0186995445772,0.6889436305028892,17.948769230769226,17.83846153846154,0.5353846153846155,-0.3355228445805132,3.6561538461538463,228.4582364377353,5.814100204513104,27.24727729070932,0.2665384615384615,840.6975769230769,28.307034891537164,1.0606056874501162,5.466145012103654,3.909692307692308,7.0,332.0
P33678_SF4,5.909873008728027,4,0,1,4,1,1,3,4,2,0,5,0,3,0,4,1,3,1,1,0,0,2,3,4913.299999999999,-13.009479549885484,17.340000000000003,240.28,10.150000000000002,12,5,10,76.23000000000002,67,3448.553139021891,19383.84089371241,16700.12081711758,-104.36075628292764,695.6700000000001,572.6,21.83,-14.017757089677447,191.938,8573.335522950247,288.31869914227525,888.2894024203596,11.68,31871.572,1018.7115176137931,36.58663706777787,228.4718629447725,128.45499999999998,129.29736842105262,-0.3423547249969864,0.4563157894736843,6.323157894736842,0.2671052631578948,0.3157894736842105,0.131578947368421,0.2631578947368421,2.006052631578948,1.763157894736842,90.75139839531292,510.1010761503267,439.47686360835735,-2.746335691655991,18.307105263157897,15.06842105263158,0.5744736842105264,-0.368888344465196,5.050999999999999,225.61409270921703,7.587334187954612,23.376036905798937,0.3073684210526316,838.7255789473684,26.80819783194193,0.9628062386257334,6.012417445915066,3.380394736842105,7.4,330.0
